著者名,作品数(重複あり),作品数(重複無し),total青空文字数,文字収集率,total青空行数,行収集率,total青空録音時間(時:分:秒),録音収集率,accept文字数,accept行数,accept録音時間(時:分:秒),reject文字数,reject行数,reject録音時間(時:分:秒),daisy subフォルダー名
アンデルセン_ハンス・クリスチャン,1,1,42182,0.89,3321,0.954,00003:08:18,0.957,37540,3167,00003:00:07,4642,154,00000:08:11
ユゴー_ヴィクトル,9,6,1387124,0.918,88843,0.902,00080:06:15,0.902,1274049,80099,00072:16:52,113075,8744,00007:49:24
ルヴェル_モーリス,29,29,136729,0.85,4909,0.875,00006:49:37,0.841,116201,4293,00005:44:29,20528,616,00001:05:08
ロラン_ロマン,11,11,1504473,0.825,44382,0.877,00066:01:19,0.87,1241558,38939,00057:25:05,262915,5443,00008:36:13
伊藤左千夫,1,1,33362,0.894,1895,0.909,00001:58:55,0.908,29837,1723,00001:47:59,3525,172,00000:10:57
永井荷風,9,8,291260,0.872,15105,0.894,00017:49:46,0.894,253937,13511,00015:56:22,37323,1594,00001:53:24
永井隆,3,2,308921,0.809,16163,0.785,00013:01:20,0.778,250047,12694,00010:08:12,58874,3469,00002:53:08
横光利一,3,3,642834,0.754,30700,0.639,00039:52:16,0.622,485008,19623,00024:48:09,157826,11077,00015:04:08
岡本かの子,20,13,323963,0.914,16407,0.93,00017:41:42,0.923,296209,15266,00016:20:00,27754,1141,00001:21:42
岡本綺堂,134,117,2387399,0.888,139078,0.897,00121:21:18,0.898,2119377,124696,00109:00:13,268022,14382,00012:21:06
下村湖人,6,6,921702,0.926,42925,0.91,00045:41:33,0.91,853403,39079,00041:35:09,68299,3846,00004:06:24
夏目漱石,85,52,5558758,0.874,343856,0.869,00372:07:27,0.868,4858936,298743,00323:03:29,699822,45113,00049:03:58
河口慧海,5,1,526548,0.875,28684,0.83,00030:59:45,0.833,460933,23817,00025:49:32,65615,4867,00005:10:14
河上肇,1,1,104647,0.617,6312,0.611,00005:41:35,0.633,64611,3857,00003:36:12,40036,2455,00002:05:23
火野葦平,2,1,378342,0.911,21404,0.875,00021:30:02,0.871,344778,18733,00018:43:57,33564,2671,00002:46:05
海野十三,115,112,3433999,0.917,189047,0.914,00218:08:30,0.912,3150561,172768,00198:58:17,283438,16279,00019:10:13
芥川竜之介,144,86,1243281,0.87,67394,0.825,00087:06:01,0.823,1081217,55575,00071:40:22,162064,11819,00015:25:40
梶井基次郎,44,20,301638,0.891,14121,0.9,00020:31:34,0.896,268869,12710,00018:23:19,32769,1411,00002:08:15
鴨長明,1,1,21339,0.972,1354,0.966,00001:16:15,0.968,20751,1308,00001:13:47,588,46,00000:02:28
岩本素白,2,2,3064,0.874,94,0.819,00000:11:55,0.811,2678,77,00000:09:40,386,17,00000:02:15
亀井勝一郎,1,1,107791,0.859,6856,0.785,00011:44:48,0.76,92567,5382,00008:55:50,15224,1474,00002:48:58
菊池寛,10,9,153629,0.93,11610,0.924,00009:54:41,0.925,142886,10727,00009:10:13,10743,883,00000:44:28
吉行エイスケ,19,11,116912,0.851,5087,0.862,00006:00:16,0.848,99438,4386,00005:05:41,17474,701,00000:54:36
